property_type,bed,bath,price,acre_lot,city,state,zip_code,house_size
residential,6,8,1550000,56.62,Elizaville,New York,12523,5170
residential,8,8,16800000,4.0,Barnstable,Massachusetts,2655,10063
residential,3,3,845900,0.49,Portsmouth,Rhode Island,2871,2423
residential,1,1,100000,0.34,Westville,New Jersey,8093,544
residential,3,3,708000,0.5,Berlin,Massachusetts,1503,2000
residential,5,5,1195000,0.54,Scarsdale,New York,10583,4722
residential,3,2,995000,0.28,Morris,Connecticut,6763,1764
residential,5,4,539900,1.5,Southington,Connecticut,6489,2627
residential,2,2,135000,0.28,Holland,Massachusetts,1521,600
residential,4,4,749900,0.71,Warwick,New York,10990,2518
residential,4,2,225000,0.24,Copake,New York,12521,1239
residential,3,3,430000,0.27,Sicklerville,New Jersey,8081,1487
residential,4,2,289900,0.07,Providence,Rhode Island,2905,1344
residential,5,2,220000,0.09,Waterbury,Connecticut,6710,1886
residential,3,2,339900,0.46,Wallingford,Connecticut,6492,1164
residential,3,2,530000,0.13,Iselin,New Jersey,8830,5758
residential,3,3,366300,0.08,Middletown,Delaware,19709,2300
residential,3,4,645000,0.35,Stonington,Connecticut,6379,2400
residential,6,6,869000,0.76,Longmeadow,Massachusetts,1106,3902
residential,3,3,349900,2.14,Hamden,Connecticut,6514,1478
residential,5,3,369900,0.36,Wethersfield,Connecticut,6109,2345
residential,12,12,5500000,0.05,Brooklyn,New York,11220,8800
residential,4,4,799900,0.11,Wynnewood,Pennsylvania,19096,2958
residential,3,3,349000,0.02,Philadelphia,Pennsylvania,19146,1308
residential,6,5,649900,0.06,Newark,New Jersey,7103,2500
residential,4,3,1499000,0.24,Darien,Connecticut,6820,2405
residential,4,3,469900,0.02,Philadelphia,Pennsylvania,19104,2200
residential,7,7,2350000,4.76,Wilton,Connecticut,6897,5952
residential,3,2,1299000,0.2,Newton,Massachusetts,2465,1853
residential,4,3,825000,1.51,North Kingstown,Rhode Island,2852,3018
residential,4,3,699999,1.01,Manchester,New Jersey,8759,3416
residential,6,4,1900000,0.37,Melrose,Massachusetts,2176,5392
residential,4,3,365000,0.91,Bristol,Connecticut,6010,2231
residential,3,1,675000,1.03,Wellfleet,Massachusetts,2667,606
residential,3,1,359000,0.11,Philadelphia,Pennsylvania,19114,1684
residential,4,4,1199000,0.57,Berkeley Heights Twp,New Jersey,7922,3350
residential,4,4,425000,0.21,Sharon,Connecticut,6069,1680
residential,3,1,154500,0.11,Winchester,Connecticut,6098,1156
residential,3,2,292500,0.62,Walpole,New Hampshire,3608,1872
residential,4,1,239900,0.28,Springfield,Massachusetts,1104,1200
residential,3,2,750000,0.09,Medford,Massachusetts,2155,1315
residential,5,3,150000,0.32,Naguabo,Puerto Rico,716,1604
residential,2,1,345000,0.02,Staten Island,New York,10301,900
residential,3,1,525000,1.09,Bear,Delaware,19701,1100
residential,1,1,194900,0.03,Parsippany Troy Hills Township,New Jersey,7034,776
residential,5,5,1295000,0.48,Robbinsville,New Jersey,8691,5264
residential,3,3,1389000,2.7,Pearl River,New York,10965,2800
residential,5,2,289900,0.41,Plattsburgh,New York,12901,2440
residential,3,2,525000,0.11,Edison,New Jersey,8837,1163
residential,3,3,269900,0.17,Mount Ephraim,New Jersey,8059,2037
residential,3,1,289900,0.46,Waterford,Connecticut,6385,1338
residential,3,1,124900,0.03,Philadelphia,Pennsylvania,19142,960
residential,4,2,465000,0.35,Rocky Point,New York,11778,2800
residential,4,3,1095000,10.0,Goshen,Connecticut,6756,3735
residential,2,3,699000,2.5,Portsmouth,Rhode Island,2871,2200
residential,2,2,385000,0.11,Mount Laurel,New Jersey,8054,1521
residential,4,4,599000,2.22,Southbury,Connecticut,6488,3024
residential,3,3,439900,1.75,Peru,New York,12972,2542
residential,3,2,299900,0.06,Philadelphia,Pennsylvania,19153,860
residential,5,5,460000,0.32,Cheltenham,Pennsylvania,19012,5440
residential,3,1,219900,0.26,Pitman,New Jersey,8071,1454
residential,4,3,399000,0.25,Egg Harbor Township,New Jersey,8234,2220
residential,3,2,199900,0.02,Philadelphia,Pennsylvania,19134,1016
residential,5,3,849999,0.52,Jackson,New Jersey,8527,2473
residential,4,3,268000,0.07,San Juan,Puerto Rico,956,1800
residential,2,1,199000,0.14,Wethersfield,Connecticut,6109,792
residential,6,8,5325000,1.22,Greenwich,Connecticut,6831,6380
residential,3,2,1350000,0.11,Staten Island,New York,10312,2800
residential,8,4,580000,0.15,Cranston,Rhode Island,2920,6506
residential,6,2,269000,1.03,Swanzey,New Hampshire,3446,1716
residential,4,5,625000,3.0,Rio Grande,Puerto Rico,745,7000
residential,4,2,214999,0.17,Meriden,Connecticut,6451,1568
residential,3,2,285000,0.1,Philadelphia,Pennsylvania,19152,1452
residential,3,2,170000,0.03,Philadelphia,Pennsylvania,19142,960
residential,4,2,365000,0.07,Philadelphia,Pennsylvania,19119,1646
residential,4,3,779000,0.3,Paoli,Pennsylvania,19301,2829
residential,4,4,1600000,0.57,Falmouth,Massachusetts,2556,2746
residential,4,3,2699000,0.29,Vineyard Haven,Massachusetts,2568,2200
residential,9,3,520000,0.06,Newark,New Jersey,7103,2700
residential,4,3,1260000,0.21,Milford,Connecticut,6460,2516
residential,1,1,84900,0.06,Manchester,New Jersey,8759,738
residential,3,2,499000,0.21,Norwalk,Connecticut,6851,1216
residential,3,1,169900,0.05,Trenton,New Jersey,8629,1117
residential,2,1,184900,0.34,Franklinville,New Jersey,8322,1008
